fyear,n,y,rate,se,ci_lo,ci_hi
2015,8334,1717,0.20602351811855052,0.004430323820054314,0.19734008343124407,0.21470695280585697
2016,7276,1563,0.21481583287520617,0.004814736958188317,0.20537894843715707,0.22425271731325527
2017,6312,1407,0.2229087452471483,0.005238610019815987,0.21264106960830895,0.23317642088598764
2018,5547,1200,0.21633315305570577,0.005528383909803139,0.20549752059249163,0.22716878551891992
2019,4977,1060,0.21297970665059274,0.0058033432336444205,0.20160515391264966,0.22435425938853581
2020,4389,811,0.1847801321485532,0.005858443204553486,0.17329758346762839,0.19626268082947804
2021,3817,704,0.1844380403458213,0.006277585695456283,0.17213397238272699,0.19674210830891564
2022,6327,1127,0.1781254939149676,0.004810241470219578,0.16869742063333723,0.18755356719659796
2023,8597,1662,0.193323252297313,0.004259105053199981,0.18497540639304105,0.20167109820158496
